,Validation_loss,Training_loss
0,-0.6474268525838852,-0.8690152558118692
1,-0.8423419445753098,-1.2879964378009432
2,-0.9070122510194778,-1.4142382198614865
3,-0.914643457531929,-1.4767460334996485
4,-0.9421331316232682,-1.5147090671982468
5,-0.9321449995040894,-1.540606913937517
6,-0.9301805406808853,-1.5603829362375343
7,-0.9259332686662674,-1.5749847226401557
8,-0.9658047080039978,-1.5882118352237964
9,-0.9363724797964096,-1.5996816077764349
10,-0.9730401486158371,-1.6094676633208167
11,-0.9741368800401687,-1.6188432995836224
12,-0.9503860652446747,-1.627312145799307
13,-0.9617410451173782,-1.633866893842496
14,-0.9793709844350815,-1.6401637154445434
15,-0.9677303403615951,-1.645623971886376
16,-0.9880157053470612,-1.6510848085126222
17,-0.9884830206632614,-1.6556804283858566
18,-0.9081648766994477,-1.6607447339177985
19,-0.9647426456212997,-1.664487086884685
20,-0.980783411860466,-1.6686517378446877
21,-0.9619014620780945,-1.6717669624633165
22,-0.9561900287866593,-1.6753309115904746
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
